price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,sqft_above,sqft_living15,yr_built
532170,3,2,1360,3090,2,0,8,1360,1500,28
560000,3,1,1110,5000,1.5,0,7,1110,1420,71
282950,3,1,1250,8200,1,0,7,1250,1680,64
2.25E+06,4,3.25,5180,19850,2,0,12,3540,3160,12
350000,1,1,700,5100,1,0,7,700,1010,76
215000,3,1,1180,7669,1,0,7,1180,1190,51
650000,5,3.5,3960,25245,2,0,9,2500,2640,22
320000,4,2.75,2640,7500,1,0,8,1620,1980,51
247000,3,2,1270,7198,1.5,0,7,1270,1160,102
320000,4,1.75,1760,11180,1,0,8,1760,1730,50
255000,5,2.25,2060,8632,1,0,7,1030,1010,56
438000,3,1.75,1780,9660,1,0,7,1780,1200,56
900000,3,2.5,3400,16603,2,0,10,3400,3400,18
441000,3,2.75,1910,7280,1,0,7,1160,1710,39
420000,3,2,2020,38332,1,0,7,1010,2110,43
370000,3,1.75,1580,7000,1,0,7,1180,1640,42
269950,2,1.75,1340,7250,1,0,5,700,1830,69
807100,4,2.5,2680,4499,2,0,9,2680,2920,19
653000,3,2.5,2680,9750,1,0,8,1610,2480,39
371500,3,2,1370,8336,1,0,7,1370,1770,54
284000,3,1.75,1560,21000,1,0,7,1560,1070,64
272000,3,1.75,2160,7140,1,0,7,1670,1930,40
313000,3,1.5,1340,7912,1.5,0,7,1340,1480,63
917500,4,2.5,3880,35003,2,0,10,2570,3740,34
673000,4,2.25,2590,8190,2,0,8,2590,2260,38
425000,3,2.5,1120,1100,2,0,8,820,1590,10
399950,5,2.75,1970,5400,1,0,7,1320,1280,32
385000,3,1,1220,4800,1,0,6,1220,1200,117
269950,3,1.5,1950,7560,1,0,7,1320,1950,43
330000,2,1,1350,8220,1,0,7,1060,1540,69
260000,3,2.5,1670,5797,2,0,7,1670,1670,30
470000,4,3,2380,5125,1.5,0,7,1680,1410,93
589000,4,3,2440,9600,2,0,7,2440,2290,57
163500,2,1.5,1050,3419,2,0,7,1050,1050,22
835000,4,2.75,3130,13412,2,0,9,2140,2260,25
1.10E+06,5,3,4090,12850,1,0,10,2090,2540,32
269000,4,1.75,1490,10000,1,0,8,1100,2190,49
560000,3,2.5,1900,8744,2,0,8,1900,2030,31
615000,4,1,1330,2400,1.5,0,6,1330,1330,117
585188,3,2.25,2230,10026,1,0,8,1430,2230,43
305000,3,1.75,1650,9480,1,0,7,1220,1540,41
166950,3,1,1190,8820,1,0,6,1190,1230,59
799000,3,2.5,2140,9897,1,0,8,2140,2680,59
400000,3,2.5,2180,7508,1,0,7,1420,1900,56
230000,3,1,1060,10228,1,0,7,1060,1570,70
256883,3,2.5,1690,5025,2,0,8,1690,2550,15
423000,4,2,1970,6480,1.5,0,7,1130,1500,98
465000,3,2.5,2150,4084,2,0,8,2150,1750,11
440000,3,2.5,1910,66211,2,0,7,1910,2330,21
385000,3,1.75,1350,155073,1,0,7,1350,1560,49
210000,3,1,860,11725,1,0,6,860,1300,75
297000,3,2.5,1940,14952,2,0,8,1940,2030,24
470000,3,1,1010,5000,1,0,7,1010,1680,66
226500,3,1.5,1300,7370,1,0,7,900,1430,42
274250,3,1,910,8450,1,0,6,910,1400,56
840000,4,1.75,2480,11010,1,0,9,1630,2770,52
677900,3,2.5,2440,4587,2,0,8,2440,2750,8
425000,3,1,1010,5864,1,0,7,1010,1290,103
180250,2,0.75,900,9600,1,0,6,900,1250,77
464000,6,3,2300,3404,2,0,7,1600,1560,98
320000,4,2.25,1550,7579,2,0,8,1550,1630,25
625504,3,2.25,1270,1566,2,0,8,1060,1160,4
592500,4,2.5,2240,12032,1,0,9,2240,2520,35
465000,3,2.5,2714,17936,2,0,9,2714,2590,13
477000,4,2.75,1720,6270,2,0,8,1720,2130,40
280000,2,1,850,16400,1,0,6,850,1100,95
1.51E+06,5,3,3300,33474,1,0,9,1870,3836,61
445838,3,2.5,2250,5692,2,0,8,2250,1320,18
1.07E+06,2,2.25,3900,14864,1,0,8,1950,2580,71
467000,2,1.5,1320,10800,1,0,8,1320,2120,71
686000,4,2.5,2760,6440,2,0,10,2760,3070,19
279950,3,2,1750,9750,1,0,7,1350,1900,57
527000,4,2.25,2330,19436,2,0,8,2330,1910,31
325000,3,2.25,2220,16020,1,0,8,1780,2080,52
328000,3,2.25,2020,8379,2,0,7,2020,2020,24
390000,3,2.25,1250,7500,1,0,7,1250,1280,76
479950,2,2,1510,6516,1,0,8,1510,1640,13
264950,4,2.25,1720,9753,1,0,7,1120,1510,40
235000,3,1,1430,15246,1,0,7,980,1960,57
516500,3,2.5,1480,4729,2,0,7,1480,2250,14
655000,2,1.75,1450,15798,2,1,7,1230,2030,103
500000,4,2.75,2280,15347,1,0,7,2280,2280,58
315000,6,2.75,2940,7350,1,0,8,1780,2120,40
213000,2,1,1000,10200,1,0,6,1000,1150,57
475000,3,1.5,2480,5280,1.5,0,7,1620,2090,71
1.03E+06,5,4,3760,28040,2,0,10,3760,3430,35
416000,3,2,2220,94300,1,0,7,1640,2070,42
410000,4,1,1970,4740,1.5,0,7,1670,1510,114
800000,3,3.5,3830,221284,2,0,10,3530,2920,25
472000,6,2.5,4410,14034,1,0,9,2350,2600,53
225000,3,1.75,1430,8505,1,0,7,1430,1190,50
210000,2,1,830,6000,1,0,6,830,830,78
455000,2,1,1430,5000,1.5,0,7,1430,1450,93
225000,3,1,1300,8316,1,0,6,1300,1260,64
480000,2,1,1030,3060,1,0,7,790,1390,100
363000,3,2.5,2740,11872,2,0,9,2740,2570,28
2.40E+06,4,2.5,3650,8354,1,1,9,1830,3120,18
181000,2,1.5,720,5120,1,0,6,720,1150,64
250000,4,2,2010,7312,1,0,7,2010,2010,42
481000,3,1.75,1560,3000,1,0,6,770,1390,100
260000,3,2,1810,7209,1,0,7,1240,1750,40
455000,4,2.5,3360,7685,2,0,9,3360,3060,17
415000,3,2.25,1510,36224,2,0,8,1510,1730,27
349500,3,1,1400,3538,1,0,7,800,1620,65
245000,3,2.5,1730,7442,2,0,7,1730,1630,31
592500,2,2,1420,9191,1.5,0,7,1420,1420,90
385000,4,1.75,2360,7620,1,0,7,1180,1910,63
315000,3,1.75,1580,11455,1,0,7,1200,1550,44
255000,3,1,1230,10170,1,0,7,1230,1380,39
693000,4,2.5,2460,4425,2,0,8,2460,2990,12
780000,3,1,1660,4400,1.5,0,8,1460,1660,107
237000,3,1.75,1270,8470,1,0,7,1270,1600,58
525000,3,2.25,2100,40510,2,0,10,1320,2380,39
425000,2,1,770,5040,1,0,5,770,1330,88
369900,1,0.75,760,10079,1,1,5,760,1230,82
290000,4,2.5,1700,7280,2,0,7,1700,1950,30
285000,3,1,1120,10701,1,0,7,1120,1130,64
415000,2,1,1070,4500,1,0,7,1070,1320,81
272500,3,2.5,2070,9900,1,0,8,1420,2070,39
2.90E+06,4,3.25,5050,20100,1.5,0,11,4750,3890,36
1.37E+06,4,4.75,5310,57346,2,0,11,5310,4180,29
436000,2,1,1040,7538,1,0,7,1040,1440,79
210000,3,1,1700,11390,1,0,7,1700,1350,51
236000,3,1,1300,5898,1,0,7,1300,1320,57
331000,3,1.75,1080,1306,1,0,7,580,1440,64
365000,3,2.5,2653,4510,2,0,8,2653,2653,12
450000,3,2,2290,16258,1,0,8,2290,1660,58
770000,4,2.75,3820,26300,2,0,9,2850,1860,4
455000,4,2.5,2210,49375,1,0,8,2210,2670,21
405000,3,1.75,2390,6000,1,0,6,1240,2020,110
304900,4,1.75,2600,11325,1,0,7,1610,1720,49
170000,2,1,860,5265,1,0,6,860,1650,87
2.05E+06,5,3,3830,8480,2,0,9,2630,3050,113
780000,4,2.5,3500,7048,2,0,9,3500,3920,13
330000,3,3,2420,13959,1,0,8,1740,2570,30
370000,4,2.5,2720,8666,2,0,9,2720,2410,26
467000,5,2.25,2500,13500,1,0,7,1850,2300,39
405000,3,1.75,1670,6720,1,0,7,1140,1670,38
675000,5,2.25,2900,10300,1,0,8,1450,2310,33
500000,2,1,1640,14100,1,0,7,1140,1520,64
389999,4,2.5,1890,15770,2,0,7,1890,2410,50
630000,4,1.75,2950,9025,1,0,8,1780,2120,43
360000,4,2.5,2160,9528,2,0,9,2160,2280,26
580000,4,3,3280,11060,2,0,8,2270,2320,32
550000,3,2,1970,4166,2,0,8,1270,2390,89
879000,4,2.5,3360,22111,2,0,10,3360,3150,24
265000,3,2,1320,8959,1,0,7,1320,1740,25
446500,3,2.5,2650,7286,2,0,8,2650,2400,28
404000,3,1.5,2030,8880,1,0,7,1330,2140,55
267500,3,1.75,1590,11914,1,0,7,1090,1630,61
3.08E+06,4,5,4550,18641,1,1,10,2600,4550,16
335000,3,2.5,2440,7632,2,0,8,2440,2510,20
576000,3,2.5,1940,9000,1,0,7,970,2190,70
208633,3,2.5,2040,3810,2,0,8,2040,2370,12
315000,3,2.25,2200,8750,1,0,7,1120,1460,54
725000,3,1.75,1920,3300,1,0,8,960,1740,105
550000,4,2.75,1800,7750,1,0,8,1400,1800,53
610750,4,2.25,2180,7297,2,0,8,2180,2250,34
550700,2,1,1010,5000,1.5,0,6,1010,1460,110
665000,4,2.75,3320,10574,2,0,8,2220,2720,58
834000,4,2.5,2370,4000,1.5,0,8,1980,2440,90
201000,5,1.75,1660,78408,1.5,0,6,1660,1660,103
2.38E+06,5,2.5,3650,9050,2,0,10,3370,2880,97
1.38E+06,4,3.25,4290,12103,1,0,11,2690,3860,21
1.40E+06,4,3.25,4290,12103,1,0,11,2690,3860,21
305000,4,2.25,1950,7700,1,0,8,1350,2150,39
487000,3,2,2590,14052,1,0,8,1720,1570,70
390000,3,2.5,1930,64904,1,0,8,1930,2350,30
548000,2,1,1470,3864,1,0,7,1170,1570,102
268750,4,1,800,8775,1,0,6,800,1310,75
819900,5,2.75,3150,7119,2,0,9,3150,1560,5
520000,3,2.25,2030,16200,2,0,8,2030,2660,34
230000,3,2,1450,11204,1,0,7,1450,1520,15
240000,3,1.75,1510,10248,1,0,7,1510,1510,49
232000,2,1,1240,12092,1,0,6,960,1820,96
240500,2,1,1240,12092,1,0,6,960,1820,96
274975,3,2.5,3030,45004,2,0,9,3030,3080,31
740000,4,2,2050,4400,1.5,0,9,2050,2320,96
186375,3,1,1000,7636,1,0,7,1000,1150,66
790000,3,2.25,2370,10289,1,0,9,1590,2500,41
880000,4,3.5,2800,6750,2,0,9,1890,2370,67
279000,6,1.75,2240,11180,2,0,7,2240,1590,63
295000,3,2,1810,10530,1,0,8,1810,1910,27
640000,2,1,1070,5000,1,0,7,1070,1710,94
940000,4,2,2490,9525,2,0,9,2490,2770,50
260000,4,2.5,1960,5238,2,0,7,1960,1800,15
559900,3,2.75,2930,5569,1,0,9,1860,2580,14
791500,4,2,1510,3500,1.5,0,7,1510,1820,107
265000,3,1.75,1420,8250,1,0,7,1420,1740,64
245000,3,1.75,1740,11547,1,0,7,1740,880,64
485000,4,1.75,2560,43995,2,0,7,2560,2560,56
684000,4,3.5,3040,8414,2,0,9,2420,3470,8
425000,3,1.75,2500,6840,1,0,8,1300,1580,61
309600,4,1.75,1275,20000,1,0,6,1275,1660,27
552250,4,2.5,2580,5823,2,0,8,2580,2380,16
165000,4,1,1000,7134,1,0,6,1000,1020,75
239900,4,1,1000,7134,1,0,6,1000,1020,75
320000,2,1,1070,32633,1,0,6,1070,1360,88
206600,3,2,1390,13464,1,0,7,1390,1720,31
387000,4,1.75,2500,7690,1,0,7,1250,2040,45
299000,1,0.75,560,12120,1,0,4,560,1300,51
855000,4,2.75,2270,10460,2,0,9,2270,2610,53
315000,3,1,1900,14400,1,0,7,1300,1940,64
437500,2,1,990,3120,1,0,7,790,1930,111
252000,4,1.5,1550,19800,1,0,7,1050,1640,49
375000,4,1.75,2200,7475,1,0,7,1100,1600,63
300000,4,2.5,1910,4862,2,0,7,1910,2010,13
420000,4,1,1750,9600,1.5,0,7,1750,1750,64
900000,3,1,1330,77972,1,0,7,1330,1340,90
679900,3,2.5,2440,5750,2,0,9,1980,1520,18
463000,3,2.5,1640,29970,2,0,7,1640,1580,26
380000,5,2.5,2760,11340,2,0,9,2760,2470,40
329500,4,2.5,1820,7912,2,0,7,1820,1820,24
604950,3,2.5,2110,5608,1,0,8,1340,2040,5
795000,5,2.5,3040,9570,1,0,8,1640,2920,52
465000,3,2,1840,40438,2,0,7,1840,1380,24
673000,4,2.5,2990,10400,2,0,9,2990,2140,16
810000,4,2.5,3520,15420,2,0,10,3520,3400,27
785000,4,2.75,2440,69415,1,0,8,1910,2770,29
338000,4,3,2090,7500,1,0,7,1370,1810,32
280000,3,2.25,1430,7222,2,0,7,1430,1430,25
315000,4,2.25,2180,10754,1,0,7,1100,1810,64
530000,4,2.25,2180,10754,1,0,7,1100,1810,64
380000,5,3,3450,9914,2,0,9,3450,2860,14
297000,3,2.25,1450,7562,2,0,7,1450,1650,24
730000,4,2.5,3230,7331,2,0,10,3230,3480,14
450000,3,1.75,1640,13500,1,0,7,1110,1770,78
275000,3,3,1590,7750,1,0,7,1060,1680,21
595000,4,2,2020,2849,2,0,7,2020,1910,58
435000,3,1.5,1300,3348,1.5,0,7,1300,1590,114
270000,2,1.5,1380,209959,1,0,6,1380,3130,64
950000,3,3,4040,14338,2,0,10,3030,3360,32
389000,4,2.25,2130,5337,2,0,7,2130,2300,17
560000,4,2.25,2550,7800,1,0,8,1580,2420,50
1.35E+06,5,3.5,4800,14984,2,0,11,3480,4050,20
799000,4,2.25,2510,11585,2,0,8,2510,2450,49
365500,3,2,1410,9600,1,0,7,1410,1410,35
252350,3,2,1650,7352,1,0,7,1160,1710,39
403950,4,2.5,2120,13780,2,0,8,2120,1880,25
385000,4,1.5,2040,10726,1,0,7,1380,1610,64
345000,4,1,1550,7620,1.5,0,7,1550,1450,61
490000,3,2.75,1980,3128,2,0,9,1980,1950,39
330000,3,2.5,1600,26977,2,0,8,1600,1790,13
927000,4,2.75,3300,12090,2,0,8,3300,3180,65
1.12E+06,4,2.5,3840,16619,2,0,10,3840,3600,35
330000,2,1,1220,10000,1,0,7,1220,2000,68
530000,5,2.25,2720,8800,1,0,7,1500,2110,60
365000,4,2,1940,25600,1,0,8,1940,2000,56
378750,3,2.5,2160,3000,1.5,0,7,1260,1060,109
269900,4,1.75,1530,8750,1.5,0,7,1530,1390,50
557000,3,3.5,1710,2096,2,0,8,1290,1630,10
360000,4,1.75,3730,16980,1,0,7,2150,1880,44
352000,2,1,940,5000,1,0,7,940,1560,81
437000,3,2.5,1750,22357,2,0,8,1750,2430,24
322500,4,2.5,1820,6753,2,0,7,1820,1820,24
650000,3,3.25,1510,2000,2,0,9,1330,1510,17
450000,3,2,1290,1213,3,0,8,1290,1290,17
278500,3,2,1570,5250,1,0,7,1570,1570,20
364950,4,2.5,1930,6957,2,0,8,1930,2090,23
840000,4,3.5,2840,40139,1,0,10,2840,3180,32
268000,3,2.5,1550,8134,2,0,7,1550,1550,27
517534,2,1,833,143947,1,0,5,833,1380,12
632925,3,2.5,2990,32239,2,0,8,2990,2990,40
577500,3,2.5,2000,7251,2,0,9,2000,2450,23
339000,4,1.5,2390,7480,1.5,0,7,2390,2850,98
570000,3,1.75,2910,37461,1,0,7,1530,2520,51
563500,4,1.75,2085,174240,1,0,7,1610,2690,54
423000,4,2.25,2200,9351,1,0,7,1290,1910,56
355000,3,2.25,1860,5028,2,0,8,1860,2320,6
1.55E+06,5,4.25,6070,171626,2,0,12,6070,4680,19
482000,2,1,950,3960,1,0,7,950,1320,77
625000,3,1.75,1600,9135,1,0,7,1600,1580,63
538000,3,2.5,2250,11632,2,0,8,2250,2360,30
380000,3,2.5,2280,10255,2,0,8,2280,2310,33
375000,2,1,940,5120,1,0,7,940,1300,109
245000,3,2.5,1530,8500,1,0,7,1030,1850,22
310000,5,1.75,2190,27260,1,0,7,2190,1620,71
1.30E+06,3,2,2350,15021,1,0,8,1770,3530,42
397000,4,2,1440,7680,1,0,7,1200,1460,47
365000,3,2.5,2200,4052,2,0,8,2200,2310,13
328500,4,3,2290,8250,2,0,9,2290,2290,28
988000,4,3,4040,19700,2,0,11,4040,3930,31
1.00E+06,4,2.5,2610,3277,1.5,0,8,1920,1810,96
237000,3,2.5,1490,2138,2,0,7,1490,1490,13
525000,4,2.5,2450,5280,2,0,8,2450,2300,15
749000,4,2.5,1710,9627,1,0,9,1440,2140,42
722500,5,2.5,4870,11800,2,0,10,3470,3180,35
843000,3,2.5,3130,8750,2,0,10,3130,2860,27
438000,2,2,1270,1372,3,0,8,1270,1610,18
578000,3,1.75,2120,10875,1,0,8,1540,2460,41
227950,3,1.5,1670,8230,1,0,7,1670,2077,64
196000,3,2.25,2070,11576,2,0,7,2070,1890,44
641000,2,1,1420,5332,1,0,8,1070,2400,65
350000,3,1.5,1250,219978,1,0,6,1250,1930,38
205000,3,1,940,7980,1,0,7,940,1150,58
400000,3,1.75,1920,9102,1,0,7,1920,1920,50
1.03E+06,3,2.5,3545,9816,1,0,10,2610,3630,13
505000,3,2,1260,5460,1,0,7,1260,1510,46
475000,5,2.5,2340,7200,1,0,7,1300,1930,43
520000,3,2.25,2590,9263,1,0,8,1440,2580,41
1.45E+06,3,4.5,3970,24920,2,0,10,3260,2610,41
333500,3,1.75,1220,9732,1,0,7,1220,1630,53
232000,3,1,1400,10403,1,0,6,1400,1230,42
691100,3,2.75,2360,16117,1,0,8,1710,2120,35
811000,3,1.75,1870,9897,1,0,8,1870,1900,58
551000,3,2.5,2830,5802,2,0,9,2830,2500,17
496500,3,2.5,2260,3640,2,0,8,2260,2350,24
705000,3,3,1970,20978,2,1,9,1770,2280,38
578000,4,2.5,3140,9225,1,0,9,1770,2460,52
255000,3,1.75,1240,8659,1,0,7,1240,1490,32
1.05E+06,4,3.5,3450,7832,2,0,10,3450,3220,11
348000,3,2.25,2570,8491,2,0,8,2570,2400,29
230000,3,2,1510,3413,2,0,7,1510,1570,33
359500,4,2.25,2390,11250,2,0,9,2390,2480,30
330000,3,1,980,7000,1,0,6,980,1220,65
80000,1,0.75,430,5050,1,0,4,430,1200,106
465000,3,1.75,1480,6360,1,0,7,1480,1480,64
325000,4,2.5,1850,7324,2,0,8,1850,2100,21
340500,3,2,2270,28025,1,0,7,1920,1770,71
342500,3,2.5,1810,5192,2,0,8,1810,1810,25
290900,2,2,1610,17600,2,0,6,1610,1310,88
868700,3,4.25,3840,6161,2,0,10,3840,3230,18
1.20E+06,4,2.75,4110,8400,2,0,9,3130,2820,90
1.15E+06,4,3.25,4190,10259,2,0,11,3150,4300,18
859900,4,2.75,3390,6298,2,0,9,3390,3390,7
520000,4,2.25,1890,3006,2,0,7,1890,1580,15
460000,3,2.5,1610,2527,2,0,9,1080,1610,13
438924,3,1.5,1050,4590,1,0,7,850,1770,69
315000,2,1,630,6550,1,0,5,630,1420,100
590000,4,2.75,2910,10650,1,0,8,1780,2920,43
378500,4,1.75,1700,8640,1,0,7,850,1620,63
328500,3,2.5,1950,8130,2,0,9,1950,2350,28
849950,3,3,2990,9773,2,0,8,2990,2230,45
525000,3,1.5,1350,6000,1,0,7,900,1730,68
1.39E+06,4,3.25,4860,181319,2.5,0,9,4860,3850,25
